TransactionID,TransactionAmt,TransactionDT,ProductCD,User_ID,Merchant,CardNumber,BINNumber,CardNetwork,CardTier,CardType,PhoneNumbers,User_Region,Order_Region,Receiver_Region,Sender_email,Merchant_email,DeviceType,DeviceInfo,Distance,TransactionTimeSlot_E2,HourWithinSlot_E3,TransactionWeekday_E4,AvgTransactionInterval_E5,TransactionAmountVariance_E6,TransactionRatio_E7,MedianTransactionAmount_E8,AvgTransactionAmt_24Hrs_E9,TransactionVelocity_E10,TimingAnomaly_E11,HourlyTransactionCount_E13,DeviceMatching_M4,DeviceMismatch_M6,RegionMismatch_M8,TransactionConsistency_M9,EmailFraudFlag,DaysSinceLastTransac_D2,SameCardDaysDiff_D3,SameAddressDaysDiff_D4,SameReceiverEmailDaysDiff_D10,SameDeviceTypeDaysDiff_D11,TransactionCount_C1,UniqueMerchants_C4,SameBRegionCount_C5,SameDeviceCount_C6,UniqueBRegion_C11,AmountAnomaly,RegionAnomaly_E12,EmailDomainChanges_30D,LateNightPattern,UnauthorizedTransactionFlag,Delivery_Regions_Anomaly,ProductCD_Amount_Anomaly,HighAmount_PostInactivity_E15,isFraud,Customer_Name,DOB,Address,Country,National_ID,Account_Open_Date,Origin_Account,Destination_Account,Account_Type,IP_Address,Geo_Lat,Geo_Long,Login_Country,Transaction_Purpose,Invoice_Number,Business_Category,KYC_Verified,Risk_Score,PEP_Flag,Blacklist_Status,Is_Cross_Border,Currency,FX_Rate
11,1400,15-01-2023 10:23,Retail,1002,Ajio,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,0,0,0,6,1,0,1,0,0,0,0,0,1,0,0,3,0,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,12,5,12,14,2,0,0,0,0,0,0,0,0,0,User_1002,1971-07-29,"6345 Elm Street, City_5",India,ID006345,2015-05-24,ACC00006345,ACC00011057,Savings,192.168.1.1,39.882809,103.677722,USA,Purchase,INV000010,Finance,1,61,0,Clean,1,USD,60.59
12,1900,15-01-2023 10:24,Retail,1002,Flipkart,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,3,0,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,12,5,12,14,2,0,0,0,0,0,0,0,0,0,User_1002,1995-02-23,"6345 Elm Street, City_5",USA,ID006345,2014-01-29,ACC00006345,ACC00013164,Savings,172.16.0.3,-59.806276,-107.058487,India,Salary,INV000011,Healthcare,1,80,0,Clean,0,INR,1
13,2500,15-01-2023 10:26,Retail,1002,Flipkart,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,628.44,0,0,6,1,0,0,0,0,0,0,0,1,0,0,3,0,0.001388888888889,0.001388888888889,0.001388888888889,0.001388888888889,0.001388888888889,12,5,12,14,2,0,0,0,0,0,0,0,0,0,User_1002,1971-08-12,"6345 Elm Street, City_5",India,ID006345,2015-09-20,ACC00006345,ACC00015614,Savings,10.0.0.2,-78.861359,113.53383,USA,Salary,INV000012,Retail,1,97,0,Clean,0,INR,1
14,3000,15-01-2023 10:28,Household,1002,PepperFry,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,546.58,0,0,6,1,0,0,0,0,0,0,0,1,0,0,3,0,0.001388888888889,0.001388888888889,0.001388888888889,0.001388888888889,0.001388888888889,12,5,12,14,2,0,0,0,0,0,0,0,0,0,User_1002,1986-12-31,"6345 Elm Street, City_5",UAE,ID006345,2010-03-08,ACC00006345,ACC00016878,Savings,172.16.0.3,-2.401898,-56.838362,Brazil,Investment,INV000013,Education,1,71,0,Clean,0,INR,1
15,3500,15-01-2023 10:30,Household,1002,PepperFry,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,90.75,0,0,6,1,0,0,0,0,0,0,0,1,0,0,3,0,0.001388888888889,0.001388888888889,0.001388888888889,0.001388888888889,0.001388888888889,12,5,12,14,2,0,0,0,0,0,0,0,0,0,User_1002,1974-11-02,"6345 Elm Street, City_5",UK,ID006345,2014-04-30,ACC00006345,ACC00014753,Savings,192.168.1.1,80.719999,119.033063,Brazil,Purchase,INV000014,Education,1,45,0,Clean,0,INR,1
16,3500,15-01-2023 10:31,Consumable,1002,Blinkit,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,101.37,0,0,6,1,0,0,0,0,0,0,0,1,0,0,3,0,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,12,5,12,14,2,0,0,0,0,1,0,0,0,1,User_1002,1979-03-05,"6345 Elm Street, City_5",USA,ID006345,2017-08-31,ACC00006345,ACC00015931,Business,10.0.0.2,4.705221,-166.194796,Brazil,Purchase,INV000015,Education,1,30,0,Clean,1,USD,81.44
17,4500,15-01-2023 10:32,Consumable,1002,Blinkit,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,161.94,0,0,6,1,0,0,0,0,0,0,0,1,0,0,3,0,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,12,5,12,14,2,0,0,0,0,1,0,0,0,1,User_1002,1967-04-12,"6345 Elm Street, City_5",USA,ID006345,2016-10-28,ACC00006345,ACC00016832,Current,192.168.1.1,54.666832,-81.591693,Brazil,Loan Repayment,INV000016,Retail,1,58,0,Blacklisted,0,INR,1
18,25000,15-01-2023 22:32,Miscellaneous,1002,PokerBaazi,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,0,3,0,6,0,1,1,1,1,0,1,0,1,0,0,3,0,0.5,0.5,0.5,0.5,0.5,12,5,12,14,2,1,0,0,0,0,0,0,0,1,User_1002,1984-04-03,"6345 Elm Street, City_5",India,ID006345,2012-08-27,ACC00006345,ACC00017187,Savings,10.0.0.2,48.236441,-115.485352,USA,Investment,INV000017,Retail,1,25,0,Clean,0,INR,1
19,157.49,17-01-2023 14:29,Household,1000,PepperFry,3973876402932914,397387,American Express,Black,Credit,+91 9150152072,Hassan,Raichur,Dakshina Kannada,morgan63@example.com,danielmartinez@example.com,Mobile,iOS Device,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,,0,0,0,1.66458333333333,5,4,5,5,1,0,0,0,0,0,0,0,0,0,User_U000,1986-01-07,"9325 Elm Street, City_5",Singapore,ID009325,2010-04-30,ACC00009325,ACC00012465,Current,192.168.1.1,29.298719,-76.230273,Brazil,Purchase,INV000018,Healthcare,1,10,0,Watchlist,0,INR,1
20,154.27,17-01-2023 14:46,Miscellaneous,1000,Decathlon,3973876402932914,397387,American Express,Black,Credit,+91 9150152072,Hassan,Raichur,Chikkaballapur,morgan63@example.com,dedwards@example.net,Mobile,iOS Device,90.75,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0.011805555555556,0.011805555555556,0.011805555555556,0,0.011805555555556,5,4,5,5,1,0,0,0,0,0,0,0,0,0,User_U000,1968-01-27,"9325 Elm Street, City_5",UK,ID009325,2012-03-07,ACC00009325,ACC00015553,Savings,172.16.0.3,-72.523118,-27.981665,Germany,Purchase,INV000019,Travel,1,93,0,Clean,0,INR,1
21,154.09,17-01-2023 14:52,Household,1000,PepperFry,3973876402932914,397387,American Express,Black,Credit,+91 9150152072,Hassan,Raichur,Uttara Kannada,morgan63@example.com,bsmith@example.org,Mobile,iOS Device,90.75,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0.004166666666667,0.004166666666667,0.004166666666667,0,0.004166666666667,5,4,5,5,1,0,0,0,0,0,0,0,0,0,User_U000,1985-07-10,"9325 Elm Street, City_5",India,ID009325,2017-01-25,ACC00009325,ACC00013959,Business,172.16.0.3,21.49159,-167.892036,UK,Loan Repayment,INV000020,Travel,1,77,0,Clean,0,INR,1
22,161.31,17-01-2023 14:56,Retail,1000,Meesho,3973876402932914,397387,American Express,Black,Credit,+91 9150152072,Hassan,Raichur,Raichur,morgan63@example.com,andersonrichard@example.com,Mobile,iOS Device,,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0.002777777777778,0.002777777777778,0.002777777777778,0,0.002777777777778,5,4,5,5,1,0,0,0,0,0,1,0,0,1,User_U000,1963-12-04,"9325 Elm Street, City_5",UAE,ID009325,2012-10-09,ACC00009325,ACC00014910,Savings,172.16.0.3,23.722734,-117.717217,India,Gift,INV000021,Travel,1,7,0,Clean,0,INR,1
23,156.07,17-01-2023 14:59,Consumable,1000,Blinkit,3973876402932914,397387,American Express,Black,Credit,+91 9150152072,Hassan,Raichur,Raichur,morgan63@example.com,shannon40@example.com,Mobile,iOS Device,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0.002083333333333,0.002083333333333,0.002083333333333,0,0.002083333333333,5,4,5,5,1,0,0,0,0,0,1,0,0,1,User_U000,1978-02-24,"9325 Elm Street, City_5",USA,ID009325,2010-07-29,ACC00009325,ACC00016381,Business,192.168.1.1,-80.689762,-140.867217,India,Purchase,INV000022,Finance,0,65,0,Clean,0,INR,1
24,25,19-01-2023 06:32,Miscellaneous,1002,PokerBaazi,4897987445695904,489798,Visa,Platinum,Debit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,0,5,0,3,0,1,1,1,0,0,1,0,1,0,0,3,0,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,1.64791666666667,12,5,12,14,2,1,0,0,0,0,0,0,0,1,User_1002,1988-07-05,"6345 Elm Street, City_5",Singapore,ID006345,2015-02-16,ACC00006345,ACC00012105,Current,192.168.1.1,-39.181858,-3.972776,Brazil,Loan Repayment,INV000023,Travel,1,10,0,Clean,0,INR,1
25,2413.88,19-01-2023 10:18,Consumable,1001,Practo,3259880197767073,325988,American Express,Gold,Prepaid,+91 6741032336,Bidar,Koppal,Dharwad,smiththeresa@example.org,alicenguyen@example.com,Mobile,Huawei,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,,0,0,0,0.156944444444444,2,2,6,6,1,0,0,0,0,0,0,0,0,0,User_U001,1999-05-17,"5312 Elm Street, City_2",UAE,ID005312,2016-06-16,ACC00005312,ACC00019693,Current,192.168.1.1,-79.498218,107.92412,Germany,Loan Repayment,INV000024,Retail,1,24,0,Clean,0,INR,1
26,2421.79,19-01-2023 10:35,Services,1001,Coursera,3477215501666816,347721,American Express,Silver,Credit,+91 6826121072,Bidar,Koppal,Koppal,smiththeresa@example.org,blee@example.net,Mobile,Huawei,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0.011805555555556,0,0.011805555555556,0,0.011805555555556,4,4,6,6,1,0,0,0,0,0,0,0,0,0,User_U001,1990-12-26,"5312 Elm Street, City_2",India,ID005312,2017-01-17,ACC00005312,ACC00014707,Business,10.0.0.2,-22.739938,-97.298444,USA,Loan Repayment,INV000025,Finance,1,47,0,Clean,0,INR,1
27,2416.35,19-01-2023 10:59,Miscellaneous,1001,Tata 1mg,3259880197767073,325988,American Express,Gold,Prepaid,+91 6741032336,Bidar,Koppal,Uttara Kannada,smiththeresa@example.org,melanie02@example.com,Mobile,Huawei,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0.016666666666667,0.028472222222222,0.016666666666667,0,0.016666666666667,2,2,6,6,1,0,0,0,0,0,0,0,0,0,User_U001,1986-07-16,"5312 Elm Street, City_2",UAE,ID005312,2016-08-04,ACC00005312,ACC00016609,Current,10.0.0.2,81.863995,-154.747442,Brazil,Loan Repayment,INV000026,Travel,1,93,0,Clean,0,INR,1
28,2411.41,19-01-2023 11:05,Retail,1001,Nykaa,3477215501666816,347721,American Express,Silver,Credit,+91 6741032336,Bidar,Koppal,Bagalkot,smiththeresa@example.org,mcrane@example.org,Mobile,Huawei,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0.004166666666667,0.020833333333333,0.004166666666667,0,0.004166666666667,4,4,6,6,1,0,0,0,0,0,1,0,0,1,User_U001,1998-03-12,"5312 Elm Street, City_2",India,ID005312,2010-02-07,ACC00005312,ACC00012242,Business,172.16.0.3,-42.965222,160.757497,Brazil,Salary,INV000027,Travel,1,6,1,Clean,0,INR,1
29,2412.68,19-01-2023 11:06,Household,1001,Hometown,3477215501666816,347721,American Express,Silver,Credit,+91 6741032336,Bidar,Koppal,Shivamogga,smiththeresa@example.org,tammy20@example.net,Mobile,Huawei,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0.000694444444444,0.000694444444444,0.000694444444444,0,0.000694444444444,4,4,6,6,1,0,0,0,0,0,1,0,0,1,User_U001,1974-05-01,"5312 Elm Street, City_2",UAE,ID005312,2013-10-29,ACC00005312,ACC00012643,Business,172.16.0.3,-65.092101,30.676041,Brazil,Loan Repayment,INV000028,Travel,1,40,0,Clean,0,INR,1
30,2421.52,20-01-2023 11:17,Retail,1001,Meesho,3477215501666816,347721,American Express,Silver,Credit,+91 6826121072,Bidar,Koppal,Dharwad,smiththeresa@example.org,dalvarez@example.com,Mobile,Huawei,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1,2,0,1.00763888888889,1.00763888888889,1.00763888888889,0,1.00763888888889,4,4,6,6,1,0,0,0,0,0,0,0,0,0,User_U001,1968-12-14,"5312 Elm Street, City_2",UK,ID005312,2010-12-05,ACC00005312,ACC00019551,Current,10.0.0.2,-42.457926,-59.498948,India,Loan Repayment,INV000029,Retail,1,12,0,Clean,0,INR,1
32,700,25-01-2023 15:00,Consumable,1003,Netmeds,499979874456959,499979,MasterCard,Gold,Credit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Redmi,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,3,0,,0,0,0,5.15486111111111,8,4,16,10,1,0,0,0,0,0,0,0,0,0,User_1003,1968-09-21,"5586 Elm Street, City_6",India,ID005586,2014-08-24,ACC00005586,ACC00014997,Business,192.168.1.1,-21.585791,66.962123,Germany,Purchase,INV000030,Finance,1,16,0,Watchlist,0,INR,1
31,700,25-01-2023 15:00,Consumable,1003,Netmeds,499979874456959,499979,MasterCard,Gold,Credit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Motorola,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,6.35277777777778,6.35277777777778,0,8,4,16,10,1,0,0,0,0,0,0,0,0,0,User_1003,1982-06-13,"5586 Elm Street, City_6",USA,ID005586,2014-12-25,ACC00005586,ACC00016726,Current,172.16.0.3,35.295077,-104.337384,Brazil,Gift,INV000031,Finance,1,23,0,Clean,0,INR,1
33,750,25-01-2023 15:05,Consumable,1003,JioMart,499979874456959,499979,MasterCard,Gold,Credit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Redmi,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,3,0,0.003472222222222,0.003472222222222,0.003472222222222,0.003472222222222,0.003472222222222,8,4,16,10,1,0,0,0,0,0,0,0,0,0,User_1003,1983-05-22,"5586 Elm Street, City_6",UK,ID005586,2017-06-19,ACC00005586,ACC00013145,Current,172.16.0.3,18.463415,106.824325,UK,Investment,INV000032,Healthcare,1,2,0,Clean,0,INR,1
34,720,25-01-2023 15:07,Consumable,1003,JioMart,499979874456959,499979,MasterCard,Gold,Credit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Redmi,97.84,1,1,2,1,0,1,0,0,0,0,0,1,0,0,3,0,0.001388888888889,0.001388888888889,0.001388888888889,0.001388888888889,0.001388888888889,8,4,16,10,1,0,0,0,0,0,0,0,0,0,User_1003,1966-07-23,"5586 Elm Street, City_6",UAE,ID005586,2010-12-03,ACC00005586,ACC00012447,Business,172.16.0.3,59.138912,-81.991301,USA,Salary,INV000033,Finance,1,3,0,Clean,0,INR,1
35,730,25-01-2023 15:10,Consumable,1003,BigBasket,499979874456959,499979,MasterCard,Gold,Credit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Redmi,152.28,1,1,2,1,0,1,0,0,0,0,0,1,0,0,3,0,0.002083333333333,0.002083333333333,0.002083333333333,0.002083333333333,0.002083333333333,8,4,16,10,1,0,0,0,0,0,0,0,0,0,User_1003,1998-05-25,"5586 Elm Street, City_6",UK,ID005586,2018-01-03,ACC00005586,ACC00016263,Current,10.0.0.2,17.808548,-99.165646,Germany,Investment,INV000034,Finance,1,50,0,Clean,1,EUR,75.57
36,700,25-01-2023 15:11,Consumable,1003,BigBasket,499979874456959,499979,MasterCard,Gold,Credit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Redmi,111.83,1,1,2,1,0,1,0,0,0,0,0,1,0,0,3,0,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,8,4,16,10,1,0,0,0,0,0,0,0,0,0,User_1003,1975-12-31,"5586 Elm Street, City_6",UK,ID005586,2018-06-01,ACC00005586,ACC00014386,Business,192.168.1.1,23.729305,50.979907,Brazil,Salary,INV000035,Finance,1,98,0,Clean,0,INR,1
37,730,25-01-2023 15:12,Services,1003,Spotify,499979874456959,499979,MasterCard,Gold,Credit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Redmi,,1,1,2,1,0,1,0,0,0,0,0,1,0,0,3,0,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,8,4,16,10,1,0,0,0,0,0,0,0,0,0,User_1003,1993-03-03,"5586 Elm Street, City_6",India,ID005586,2014-02-03,ACC00005586,ACC00014912,Business,192.168.1.1,77.608268,46.802512,Germany,Gift,INV000036,Travel,1,31,0,Clean,1,USD,61.14
38,730,25-01-2023 15:13,Services,1003,Spotify,499979874456959,499979,MasterCard,Gold,Credit,+91 8972345904,Mysuru,Mysuru,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Redmi,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,3,0,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,0.000694444444444,8,4,16,10,1,0,0,0,0,1,0,0,0,1,User_1003,1983-05-03,"5586 Elm Street, City_6",Singapore,ID005586,2013-02-04,ACC00005586,ACC00017454,Business,10.0.0.2,-32.582276,140.937216,USA,Salary,INV000037,Education,1,98,0,Clean,0,INR,1
39,730,25-01-2023 15:23,Services,1003,Spotify,499979874456959,499979,MasterCard,Gold,Credit,+91 8972345904,Mysuru,Bidar,Mysuru,abbgd@jiuajl.com,wallet@uber.com,Mobile,Redmi,0,1,1,2,1,0,1,0,0,0,0,0,1,0,1,2,0,0.006944444444444,0.006944444444444,0,0.006944444444444,0.006944444444444,2,4,16,10,1,0,1,0,0,0,0,0,0,1,User_1003,1996-10-19,"5586 Elm Street, City_6",USA,ID005586,2016-09-22,ACC00005586,ACC00014128,Business,172.16.0.3,-67.491966,-20.204628,Brazil,Gift,INV000038,Retail,1,32,0,Clean,0,INR,1
