user_id,monthly_salary,avg_monthly_balance,existing_emi,emi_to_income_ratio,credit_score,delayed_payments,avg_daily_transactions,bounced_transactions,nach_failures,age,PAN,Aadhaar
user_44,53875,57453.38,14466,26.85,800,2,14.77,0,0,38,MINJD8204R,564260766961
user_45,83508,122992.15,15960,19.11,796,0,10.09,0,0,35,JKLID3571B,682142966846
user_46,56980,72034.84,16558,29.06,643,0,3.52,0,0,39,OCDXS4836N,988107741948
user_47,53589,51254.51,756,1.41,578,1,10.19,0,0,51,YPOBB4052O,918471167710
user_48,22451,26634.5,4663,20.77,618,1,9.16,0,0,27,XXZHB1596P,702293756459
user_49,73094,107372.46,6686,9.15,366,0,6.71,2,0,28,GNKTE1239S,358586987826
user_50,131917,114422.48,45645,34.6,422,2,4.71,0,0,59,VFCIB0764O,836351969398
user_51,92678,71774.67,20235,21.83,333,3,5.51,0,0,37,MIPZL1949Y,366148168092
user_52,73620,51788.59,8618,11.71,775,0,9.39,0,0,39,ZXRAT3814M,564695565866
user_53,113356,184293.2,30510,26.92,400,2,4.34,1,0,32,ODVRC6898T,555644755190
user_54,144691,210651.01,8309,5.74,473,5,7.52,2,0,29,TAYWN9229H,403586946267
user_55,54003,63209.87,7389,13.68,561,2,10.38,2,0,22,WRMKT5570E,253047643495
user_56,90679,104253.8,17561,19.37,360,5,9.98,1,0,56,MAIMZ8584N,260099527603
user_57,138786,178325.14,19125,13.78,825,1,11.23,0,0,40,LKUQC3980D,326878736755
user_58,56082,101035.32,9385,16.73,636,2,5.75,0,0,57,EANKN2048Q,938433929521
user_59,91682,179829.74,32066,34.98,722,2,8.79,0,0,31,GCDGC7748V,717978156581
user_60,101628,137626.38,37033,36.44,401,1,5.72,2,0,41,OBEQL3668V,276034606370
user_61,109275,127493.02,19703,18.03,612,1,3.65,0,0,53,SQWUZ7035Q,173192378035
user_62,143059,207450.68,30692,21.45,322,0,11.22,0,0,31,TMZQP4084Y,227778538802
user_63,34078,39117.61,4133,12.13,419,5,8.96,0,0,31,FHRJY0332R,398923880250
user_64,137461,189229.32,15940,11.6,647,0,4.38,0,0,34,NEJSQ2795R,469590906896
user_65,42988,53048.45,1169,2.72,470,4,9.08,1,0,50,FMLQG9719L,350941843979
user_66,81244,87441.67,24065,29.62,409,0,8.01,0,0,39,LRTTZ1119E,519726398050
user_67,99712,152815.43,8936,8.96,550,0,14.72,0,0,53,HEBDG7573P,838091810686
user_68,47943,93832.43,4540,9.47,757,1,7.95,0,0,52,MJIJF1417J,562972859252
user_69,44014,54065.86,8972,20.38,541,1,8.56,2,0,31,IHSTJ8835G,191271431220
user_70,33795,50167.85,6866,20.32,769,1,9.95,0,0,31,BXXIE4324T,863548967700
user_71,141667,149184.12,38410,27.11,657,1,14.53,0,0,47,WCKLB1470W,451384581657
user_72,129370,163980.92,14852,11.48,387,5,4.74,0,0,45,YELDW2258V,971650923121
user_73,54735,65281.62,20885,38.16,767,0,11.5,0,1,29,YTESA0615L,971540699286
user_74,107962,58336.31,6835,6.33,332,1,12.7,1,0,47,XDBYT9788Q,207494544578
user_75,137885,179150.65,36479,26.46,804,0,11.5,0,0,45,NZEWG1495B,023956393888
user_76,71861,95511.17,27704,38.55,418,5,12.44,1,0,35,WXYBL7550B,051262619336
user_77,114926,206964.75,9953,8.66,426,1,5.79,2,0,41,KXPEH5379C,032126194148
user_78,49348,89754.64,9203,18.65,412,3,12.37,0,0,59,YAFCU4996A,014257979990
user_79,32882,32965.87,12555,38.18,577,4,12.1,2,1,43,UUHLB6465H,660627728574
user_80,30584,49916.57,10544,34.48,712,1,9.09,0,0,26,KOWFV4546E,478450449812
user_81,112696,169973.29,1148,1.02,665,2,5.27,0,0,51,MOTJK8587O,990954639391
user_82,62693,91960.54,25074,39.99,567,0,9.03,1,1,31,TPBZJ5112Y,577606374415
user_83,98657,148017.45,29540,29.94,785,2,7.25,0,0,47,TICUS2794P,876868503930
user_84,106886,153353.42,14551,13.61,403,2,11.88,2,0,25,ITOTS0423R,037015818863
user_85,61455,92873.7,8220,13.38,765,1,7.79,0,0,25,LUWKA3273U,861577112603
user_86,125835,188200.04,3444,2.74,634,0,6.25,0,0,40,EVYEZ4518S,286272790970
user_87,43250,32150.53,1031,2.38,453,5,7.34,2,0,39,AAPRE2109O,677241509541
user_88,141900,98980.1,46083,32.48,505,1,6.71,1,0,58,YNEDN7097L,727118104625
user_89,29232,56658.74,1095,3.75,751,2,12.0,0,0,42,VYTEA8837S,260160898610
user_90,122415,194419.01,20544,16.78,305,2,6.47,2,0,41,NRKUK3755D,613040483938
user_91,87818,101462.62,17763,20.23,630,1,13.48,0,0,21,GTXQS2870G,760830880560
user_92,99804,158842.34,30504,30.56,495,5,7.62,2,0,24,RMRHW3396S,765650733827
user_93,125443,221055.95,34268,27.32,322,0,5.54,0,0,44,PPCIY5103R,252230748333
user_94,65599,40598.66,7871,12.0,601,2,12.07,0,0,25,VLJMB6641U,207439421721
user_95,27590,31547.57,10947,39.68,823,0,4.6,0,1,40,KUJRN8991X,751274941916
user_96,138922,236266.5,20466,14.73,301,3,3.76,1,0,41,ZPHVQ7443B,161275730603
user_97,58467,63222.66,7850,13.43,619,2,7.46,0,0,26,HILTM6771A,281506276112
user_98,71796,123242.09,3714,5.17,356,1,4.82,0,0,45,WAZUG4090C,588811167059
user_99,61073,74473.05,20943,34.29,741,2,12.83,0,0,41,MAKYR4229G,291447584479
user_100,39159,22205.41,13153,33.59,496,5,3.25,2,0,57,YAIVS9644T,992398815862
user_101,69294,105171.29,1492,2.15,602,1,9.86,0,0,42,YLKOH9335A,112817703935
user_102,85151,107846.09,20564,24.15,406,5,3.54,0,0,32,IAWCP3136N,795743176018
user_103,40762,74116.62,3472,8.52,314,4,6.54,2,0,53,YMDTG7319G,982316952210
user_104,112898,75866.17,38025,33.68,448,1,13.46,1,0,49,ZPAZS0277X,056748780244
user_105,99748,179871.75,27521,27.59,736,2,7.8,0,0,57,HYKFN5672F,112185589254
user_106,118091,200328.81,30570,25.89,647,0,5.08,0,0,50,ZPSDL0844U,300383552437
user_107,103935,184712.12,39861,38.35,525,1,6.56,2,1,24,WCOXH3734D,880146213541
user_108,50823,41271.69,14346,28.23,347,1,14.2,0,0,39,HAHMU1360C,589216427383
user_109,148593,184711.91,27146,18.27,713,1,4.14,0,0,60,NTEMR1754Z,896334118163
user_110,50450,54670.03,12863,25.5,815,1,11.12,0,0,24,JLDOD8737N,848082317963
user_111,68833,79552.89,4390,6.38,691,0,7.35,0,0,57,CRYLG7028F,077794038849
user_112,29017,44049.2,2798,9.64,391,1,9.14,0,0,53,UZWFF0194K,874896840597
user_113,140494,241238.96,14398,10.25,464,4,5.72,1,0,52,KLNHP8490G,564617680126
user_114,105826,122009.6,13504,12.76,511,4,14.1,2,0,22,PZWUU7960M,167555263973
user_115,139540,74425.25,50502,36.19,427,0,10.64,0,1,57,SNQLL5602U,434732713461
user_116,29332,23969.12,10420,35.52,744,0,13.2,0,0,58,YFMAO3584Y,618214581938
user_117,88975,165224.43,2462,2.77,792,1,4.51,0,0,22,MSDYO4368O,208521758062
user_118,31747,30753.36,6613,20.83,662,1,4.88,0,0,22,AHGQR2797J,784299827866
user_119,118225,108199.86,42020,35.54,319,5,8.29,2,0,38,EGRYV1306O,723398355765
user_120,145058,240617.13,43379,29.9,370,0,4.39,1,0,39,ZSFMJ3070N,272321664693
user_121,101380,91925.21,26460,26.1,673,0,10.62,0,0,33,ITHNR6171X,252301908574
user_122,138492,254195.41,37620,27.16,591,4,12.65,0,0,50,MCTEQ6792L,978882561330
user_123,140696,174993.11,55684,39.58,621,0,6.78,0,1,26,UXMIP1127K,654707824729
user_124,28762,35005.2,4889,17.0,785,0,6.53,0,0,36,WGJLM1347W,296937939466
user_125,128731,92519.29,9670,7.51,696,2,8.71,0,0,37,UGTRF6903Z,027813538690
user_126,64599,95136.87,14840,22.97,573,4,14.64,1,0,45,IKAZW3782O,476338400714
user_127,44357,33170.84,11008,24.82,718,0,13.19,0,0,38,GUDHQ1672R,225520696055
user_128,33615,23625.1,1114,3.31,336,3,10.08,2,0,42,GFFDR9318E,977782415746
user_129,104456,187471.74,8555,8.19,658,0,14.57,0,0,23,DCEGK6878B,021566295769
user_130,55533,45549.12,11606,20.9,606,2,11.54,0,0,55,YIFQF0747P,357607466371
user_131,90846,103171.73,3816,4.2,650,0,8.3,0,0,27,DUCTQ3904L,307160188848
user_132,57827,105201.78,9545,16.51,373,3,7.92,1,0,31,OYEAN6030S,746062967386
user_133,91944,125337.58,22516,24.49,356,4,13.81,2,0,25,MTSFJ8678E,632195253697
user_134,129809,77664.53,16580,12.77,440,1,5.88,0,0,30,JFSCH4435G,300999746260
user_135,50114,40251.82,14576,29.09,754,1,4.97,0,0,35,OEUEI2763T,853165953168
user_136,92184,113182.49,14981,16.25,518,5,8.96,2,0,24,HEVDJ3008U,416311187952
user_137,81826,99490.72,30041,36.71,644,0,13.43,0,0,22,ADGHE3752K,770939170507
user_138,108551,157914.75,38132,35.13,541,5,8.74,0,1,48,ACHBA0782M,088825964871
user_139,72054,118444.52,8211,11.4,535,5,10.01,0,0,39,AVUJL3061X,776774640222
user_140,35021,46307.36,5617,16.04,409,3,3.12,2,0,57,QWSJN5749O,405252129968
user_141,68833,47881.16,3869,5.62,397,5,9.46,1,0,43,KCJGF7772Z,503603622905
user_142,79415,88367.23,22342,28.13,712,1,7.99,0,0,33,MYQGE4418V,303323616926
user_143,57984,89598.1,3054,5.27,570,0,11.12,0,0,25,WUJVP9546K,963642308371
user_144,146983,271267.12,9128,6.21,634,1,3.81,0,0,36,IGSRZ6856K,975251503854
user_145,21630,36855.89,7588,35.08,601,1,14.43,0,0,47,XFVDZ3740A,177947648148
user_146,44746,53914.79,12496,27.93,420,1,3.13,1,0,29,VSZKZ2981B,203072506806
user_147,141151,196366.77,46153,32.7,827,1,14.17,0,0,21,KPMBK6867N,588945880557
user_148,39155,21049.26,4980,12.72,845,0,7.55,0,0,44,DRCSD4380D,482397588825
user_149,75741,80740.41,11332,14.96,434,3,12.72,0,0,45,JASAT0329E,163157425260
user_150,61224,60734.88,13159,21.49,709,2,10.26,0,0,35,ZGLIV7846X,230857476157
user_151,45808,54952.27,8755,19.11,723,2,8.81,0,0,53,XLTXA8993Z,437826979816
user_152,141321,81238.19,44381,31.4,767,1,5.8,0,0,21,EHJAH2129Y,661697105412
user_153,80250,119241.55,21050,26.23,699,1,7.77,0,0,22,FAYVD2372Z,562785895038
user_154,39338,48826.99,820,2.08,504,4,4.95,1,0,39,ZVFXH7886V,100617927647
user_155,57888,55000.9,2291,3.96,545,5,14.72,1,0,52,TRQGL1593D,946907261448
user_156,79836,63664.91,17928,22.46,338,1,6.0,2,0,48,ZNFIX1816T,461240247663
user_157,77048,131733.85,20189,26.2,461,5,9.27,2,0,25,IVGMB0272H,857000352999
user_158,122547,236505.93,26673,21.77,610,0,14.19,0,0,38,HADAU5127A,258545126359
user_159,98746,104556.2,34964,35.41,673,0,3.78,0,1,39,NPPII2130N,646761836007
user_160,97166,148703.95,24429,25.14,699,1,4.44,0,0,24,MKUFH4496Q,785560329466
user_161,119532,130053.9,45278,37.88,582,5,5.15,1,0,60,KQXEJ0563F,885973688921
user_162,141264,77612.04,55847,39.53,418,5,3.05,0,1,30,GXUEZ9539B,667923190906
user_163,128921,84188.27,27146,21.06,848,2,3.35,0,0,49,IJWDL5215A,743457660426
user_164,24799,47501.1,8378,33.78,735,0,13.7,0,0,43,VAKXA9096H,630668717003
user_165,100131,164451.03,19465,19.44,305,1,6.29,0,0,54,FJWYM1664R,038940539090
user_166,32101,61932.35,6242,19.44,623,1,7.86,0,0,45,ZWIAS7689G,034902164680
user_167,126566,208537.58,29772,23.52,792,2,12.85,0,0,42,CACPO9343W,072084052977
user_168,108943,217485.55,619,0.57,669,1,8.01,0,0,41,BZEBB9755F,998549783322
user_169,22963,28728.83,6188,26.95,337,2,11.55,1,0,56,LSTPP1418L,874053862122
user_170,35101,64775.14,11302,32.2,700,2,5.55,0,0,51,EEPJP2247M,210388970137
user_171,125278,93158.14,20202,16.13,661,2,14.16,0,0,35,UWDVS4991I,364371801339
user_172,110953,122115.45,39388,35.5,759,2,10.49,0,0,58,HHZJD9181K,799629296798
user_173,107387,81480.33,14560,13.56,333,2,5.57,2,0,45,OAYAJ2041N,306851411250
user_174,117182,149053.5,26774,22.85,558,2,9.28,0,0,27,SNUFC8694O,637272724208
user_175,35695,53103.1,2881,8.07,350,0,5.72,0,0,29,XMGKF1014W,406988578402
user_176,34242,50336.99,12532,36.6,461,3,7.05,2,1,33,GYVKW2758U,317971754085
user_177,91641,170251.14,29533,32.23,629,1,13.1,0,0,26,TTOLL2036G,539535676344
user_178,54746,80856.18,17587,32.12,769,2,10.06,0,0,52,EMMZL1362G,211698365533
user_179,111448,135567.52,21979,19.72,425,5,7.95,1,0,32,AONMH9382Y,772898313308
user_180,102522,108943.09,33285,32.47,677,2,14.13,0,0,60,JQAFH6351D,706249132995
user_181,88149,62074.72,30572,34.68,756,0,10.57,0,0,44,TZMDS6133N,619997943226
user_182,62256,51906.21,17131,27.52,306,2,11.7,0,0,39,IAPRE0279K,910499040652
user_183,128136,101077.57,29322,22.88,744,2,4.34,0,0,59,IOFUP2361D,398564325351
user_184,81352,53381.02,15132,18.6,580,2,3.94,2,0,22,KAFRE9565E,644288180760
user_185,41345,44412.45,8534,20.64,800,2,7.28,0,0,28,INLWI5404D,297859301722
user_186,30161,31062.59,10602,35.15,462,2,6.37,2,1,26,ABYXC9534J,945309228577
user_187,40301,58802.16,12555,31.15,493,2,5.23,0,0,46,VDJZQ7001F,575089599551
user_188,125677,236104.03,6276,4.99,533,2,11.61,2,0,42,MGOJS1777B,448068295761
user_189,109966,117148.78,35627,32.4,512,4,12.92,1,0,34,UPVUL9746A,572024529476
user_190,138842,139469.65,41834,30.13,728,1,10.92,0,0,36,LOSRK6682R,558811283041
user_191,133962,150550.09,13944,10.41,794,1,13.9,0,0,30,OFZUX5601Y,469580910991
user_192,29668,36314.91,2272,7.66,609,0,11.5,0,0,30,ABZPW1643G,512800945970
user_193,99084,98009.1,29739,30.01,509,3,12.3,0,0,36,LIQNJ7319L,707535116263
user_194,125268,226229.9,36643,29.25,522,3,13.0,0,0,54,GBJOD6756Q,589901839597
user_195,62181,35002.87,19196,30.87,508,4,14.18,2,0,58,KZLZF8211I,032881718605
user_196,140713,228136.1,12582,8.94,707,2,8.93,0,0,50,KIEUJ4433G,673149322610
user_197,60961,83982.88,23982,39.34,529,1,7.02,2,0,49,ZSJNL7630X,670067145933
user_198,57975,71184.85,9855,17.0,815,0,8.95,0,0,60,IBHRZ2693U,285030543520
user_199,89268,173262.22,2031,2.28,746,0,9.1,0,0,36,FQMDF8446T,023351310099
user_200,143251,203076.3,20525,14.33,561,5,9.19,2,0,26,PQXKC2362I,396516552926
user_201,139794,190399.66,3628,2.6,541,4,10.32,2,0,32,ZXCRJ9016H,030953816275
user_202,32119,30513.27,9514,29.62,828,1,7.14,0,0,34,UXMTN8471W,991481389722
user_203,149754,278934.92,22127,14.78,703,1,10.0,0,0,44,SMBZH4828V,514792203200
user_204,98063,131828.1,6657,6.79,582,5,3.82,2,0,49,ZFTAD3629H,386127022384
user_205,99879,61876.35,32390,32.43,602,2,14.71,0,0,53,FDWJC5839L,918944446621
user_206,124816,67015.13,46251,37.06,600,1,8.37,0,1,45,TRATE9866A,742692373296
user_207,48216,94281.74,10247,21.25,373,3,7.51,1,0,47,FTVXV3776G,558960842033
user_208,53478,78776.4,13990,26.16,735,2,5.5,0,0,33,MYHAA4834Q,761611612806
user_209,148887,211133.83,2676,1.8,570,5,5.21,1,0,50,KVOSE1556N,988975252266
user_210,49255,70912.38,1306,2.65,783,1,4.45,0,0,54,BJRZP7884T,891625307986
user_211,35022,65167.32,8940,25.53,376,4,4.09,1,0,59,TAGDZ5146Y,287328579804
user_212,50210,29011.19,8190,16.31,753,2,7.59,0,0,35,QIHMG1640B,339340199467
user_213,83423,45581.5,15146,18.16,686,1,5.4,0,0,51,GVHBE6183G,029343375155
user_214,46652,92420.33,7706,16.52,706,0,12.63,0,0,34,ANPVB3432F,934568849155
user_215,92308,77374.36,11561,12.52,802,2,12.91,0,0,50,WVYUK3444A,968587243073
user_216,98006,143554.7,10705,10.92,489,0,5.63,0,0,22,PBHGI7976O,410354329326
user_217,35012,42068.93,3298,9.42,603,0,10.93,0,0,23,ZVGBJ8788E,277912012823
user_218,47462,66323.15,2310,4.87,739,0,11.23,0,0,37,MTEUY7367G,916514908861
user_219,111717,58536.09,24128,21.6,749,0,12.22,0,0,55,VKLXE9673Z,930964350789
user_220,69750,49884.83,2959,4.24,666,1,3.65,0,0,23,QTYEE6549H,471022555373
user_221,146436,117514.39,14330,9.79,648,2,13.36,0,0,53,ENOZB6239F,185862902458
user_222,73470,80873.98,24592,33.47,802,0,12.17,0,0,55,OGCLD5653I,913726721082
user_223,45985,32470.85,5673,12.34,387,3,11.69,2,0,27,KQCUU7789M,529036370109
user_224,148361,183417.02,50517,34.05,309,4,13.54,1,0,42,HXRVR3192Q,044692525149
user_225,122504,121294.21,8505,6.94,426,2,10.24,2,0,31,VCJTB4571O,841173844608
user_226,127421,174424.19,15876,12.46,563,2,12.29,1,0,32,NRURN0361C,805640834977
user_227,85967,169785.12,20415,23.75,685,2,4.87,0,0,60,RWGHH7289J,254618141874
user_228,134936,80365.98,27838,20.63,850,2,14.43,0,0,40,ICXZA5170Y,812052862501
user_229,120122,69015.32,45260,37.68,697,0,5.87,0,1,59,WEGIR3199V,759082074205
user_230,116565,214568.3,36935,31.69,393,5,9.55,2,0,57,SHKYQ9684R,951335709643
user_231,91093,145456.81,33033,36.26,597,0,12.79,2,0,59,VFJGE8956U,627449775273
user_232,95547,66718.01,36971,38.69,466,0,13.06,0,0,51,RWAJT6011K,923591616576
user_233,101610,119368.25,40482,39.84,548,2,7.18,1,0,60,UUWGX7468M,629455223352
user_234,130237,119975.58,22216,17.06,340,2,6.18,1,0,26,DMYHO8023Q,180236184459
user_235,147922,74092.57,3904,2.64,548,4,10.66,0,0,24,HIYRW6810B,833002256074
user_236,149302,203491.25,28947,19.39,593,1,7.33,2,0,21,YTIRB3645Y,926734177548
user_237,24219,31038.18,1300,5.37,584,4,6.66,0,0,43,GHLTG6473Q,689725321164
user_238,87375,167585.29,9342,10.69,597,1,12.14,0,0,37,LMQIM0388Y,741485063756
user_239,111295,147929.06,18813,16.9,847,0,7.31,0,0,21,IVSTR5121K,298043959037
user_240,89826,51219.86,31906,35.52,345,2,9.56,2,1,58,RMNJV4418B,281386961525
user_241,41875,41324.31,4817,11.5,493,1,11.09,2,0,26,SXTNF7381K,906342878999
user_242,51930,84183.43,2155,4.15,327,4,12.91,2,0,56,NOMED3725S,384346998272
user_243,49722,96407.7,12563,25.27,514,0,6.15,0,0,47,NIQIX2855U,259023206494
user_244,99689,134161.26,6161,6.18,562,5,3.31,1,0,31,JLEEP4952L,062285120851
user_245,97116,192701.71,12544,12.92,353,2,8.6,1,0,32,EVHQL3920O,745218386258
user_246,33657,56174.41,6267,18.62,710,1,6.09,0,0,46,TWQRQ3318S,726239525022
user_247,88215,131730.93,10347,11.73,620,1,3.44,0,0,38,HZFDV9466R,071933530339
user_248,51516,60124.1,7751,15.05,791,1,12.93,0,0,59,QLXFG2507L,686565734086
user_249,47890,47055.65,8477,17.7,681,2,7.53,0,0,38,JYFEJ4153S,067528953468
user_250,107264,97776.0,13213,12.32,723,1,5.56,0,0,41,CSQHK6286N,310676579473
user_251,48303,91806.59,1098,2.27,441,0,10.17,0,0,60,DFGYY1447R,921801936426
user_252,39461,26229.54,8454,21.42,378,0,3.18,2,0,45,WBZZR7928G,131755245577
user_253,136558,198750.49,4030,2.95,523,0,6.93,0,0,27,KILDZ6156Q,845793790906
user_254,129814,240593.63,19685,15.16,530,1,14.22,1,0,50,CHLFG8149Z,478116993504
user_255,115727,71010.15,1650,1.43,517,5,10.66,2,0,40,ICJZD5604O,763574105690
user_256,66733,104993.45,5231,7.84,665,1,6.53,0,0,51,MMMAM7013I,250725794362
user_257,126401,226476.43,14051,11.12,521,3,9.96,0,0,51,HTKVB1013Z,914001034706
user_258,22029,21617.53,4190,19.02,707,0,14.43,0,0,25,SWTRE1247J,686255376116
user_259,39143,50770.77,9284,23.72,723,1,11.95,0,0,28,XBHTR6761E,255562583576
user_260,87900,96512.88,19410,22.08,481,0,7.75,2,0,35,FFGAM4735X,079287162970
user_261,78014,41772.98,7237,9.28,542,3,14.21,2,0,34,WSAKO6610Y,522225185603
user_262,68736,104558.16,27283,39.69,816,1,9.73,0,0,38,UXAZF0377X,087110605335
user_263,129890,203647.41,46536,35.83,848,0,14.34,0,1,29,DFSPV3836T,402119581792
user_264,127202,240098.09,32935,25.89,567,0,9.98,0,0,55,THUXF6473L,693886763986
user_265,93311,181143.36,14928,16.0,303,1,12.13,0,0,33,MKHPZ8057P,820605967004
user_266,34567,46819.8,10003,28.94,419,2,13.94,1,0,33,HBHIY8633T,505148982662
user_267,42435,64453.49,9584,22.59,529,3,5.33,2,0,49,ECEYN8578U,356029557027
user_268,93511,158007.57,7924,8.47,319,0,13.9,0,0,25,OPQTN2753I,316659033046
user_269,72729,130504.91,4208,5.79,507,5,10.84,0,0,50,YMUMP5260E,104638601274
user_270,140416,165985.98,47828,34.06,743,1,5.34,0,0,56,WHSUU5947A,441061517870
user_271,66564,126991.24,9743,14.64,754,0,7.14,0,0,40,SDMUL7735K,710367869904
user_272,122346,209346.9,16978,13.88,401,0,9.72,0,0,32,SXIRP6138E,232182888531
user_273,143512,213720.15,35962,25.06,652,1,9.35,0,0,33,AIYPD7979O,133090152432
user_274,106741,135342.66,10182,9.54,305,0,6.21,0,0,48,UANBY2481E,950410825215
user_275,64845,73409.54,8950,13.8,526,0,5.04,2,0,58,SIOVT5125N,966546622967
user_276,29449,57972.35,2818,9.57,739,1,13.44,0,0,57,HWYGA4555O,751182245005
user_277,124110,178901.94,45152,36.38,351,0,7.6,0,1,49,JGRGP4777B,893634131091
user_278,124946,214275.92,45529,36.44,498,3,6.99,2,1,53,CBPPB6725T,112206428233
user_279,77259,98470.21,6772,8.77,542,2,4.77,1,0,41,VCZJC6441U,392596345805
user_280,100168,63505.31,9655,9.64,835,1,14.4,0,0,56,TOSVD9763E,452534204011
user_281,54648,70595.89,4023,7.36,402,0,10.03,0,0,59,QKVIY4417K,084736542619
user_282,88858,127794.63,27391,30.83,542,1,5.66,0,0,50,FKXHS1253L,260562574242
user_283,136096,83537.93,46759,34.36,841,0,12.72,0,0,60,VPELR3871V,525893363531
user_284,21676,17132.48,5493,25.34,559,0,6.87,1,0,21,WMIUV1294U,267274197925
user_285,85786,82260.48,10839,12.63,825,1,10.42,0,0,23,KSXWU5220U,055959223996
user_286,125191,62799.05,26084,20.84,645,2,8.07,0,0,24,SHVAL9515Y,278543448031
user_287,76378,71816.08,27215,35.63,564,0,3.12,0,1,34,YDIQL0948E,926462365679
user_288,70714,123096.44,5173,7.32,453,3,9.7,1,0,32,SOUPY9648D,468182270447
user_289,127349,86884.32,38700,30.39,370,1,10.52,1,0,52,MNUQD6122Y,783605862662
user_290,56175,102799.72,7309,13.01,611,2,10.29,0,0,56,IIRYO9176S,867435179627
user_291,39234,48743.81,11773,30.01,520,4,10.56,1,0,37,WZECQ7315L,786390119441
user_292,46186,33813.65,8515,18.44,415,5,10.6,1,0,41,WOVXG5252A,316194214645
